name,file size,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
/tests/comsub-posix.tests,2583,842,422,282,212,170,142,123,107,95,87
/tests/dollar-at6.sub,351,656,328,219,164,132,110,94,82,73,66
/tests/nquote2.sub,557,656,328,219,164,132,110,94,82,73,66
/tests/exportfunc3.sub,351,656,328,219,164,132,110,94,82,73,66
/redir.h,1571,38,20,14,13,12,8,8,7,7,6
/tests/assoc9.sub,1396,768,384,257,192,155,129,110,96,86,78
/tests/array4.sub,436,656,328,219,164,132,110,94,82,73,66
/tests/exp8.sub,475,656,328,219,164,132,110,94,82,73,66
/tests/set-e.tests,1452,656,328,219,164,132,110,94,82,73,66
/tests/intl3.sub,425,656,328,219,164,132,110,94,82,73,66
/tests/run-precedence,96,6,3,2,2,2,1,1,1,1,1
/builtins/bashgetopt.h,1263,17,9,6,6,5,3,3,3,3,3
/tests/nameref.tests,1518,656,328,219,164,132,110,94,82,73,66
/tests/quote1.sub,1009,656,328,219,164,132,110,94,82,73,66
/tests/func3.sub,636,657,329,220,165,133,111,95,83,74,67
/tests/nameref6.sub,619,656,328,219,164,132,110,94,82,73,66
/hashcmd.h,1456,35,18,12,12,12,7,7,7,7,7
/tests/exec9.sub,252,656,328,219,164,132,110,94,82,73,66
/tests/varenv10.sub,762,647,325,217,163,131,110,94,83,74,66
/tests/array6.sub,1477,656,328,219,164,132,110,94,82,73,66
/tests/array27.sub,770,656,328,219,164,132,110,94,82,73,66
/assoc.h,2302,208,106,71,64,57,36,34,33,31,30
/tests/heredoc1.sub,101,656,328,219,164,132,110,94,82,73,66
/tests/errors7.sub,427,656,328,219,164,132,110,94,82,73,66
/tests/globstar1.sub,257,656,328,219,164,132,110,94,82,73,66
/tests/glob1.sub,227,656,328,219,164,132,110,94,82,73,66
/tests/posixexp.tests,1950,683,342,228,171,138,115,98,86,76,69
/tests/herestr.tests,415,880,440,294,220,176,147,126,110,98,88
/tests/vredir1.sub,90,656,328,219,164,132,110,94,82,73,66
/tests/run-dbg-support,326,71,36,24,18,15,12,11,9,8,8
/tests/exp7.sub,263,656,328,219,164,132,110,94,82,73,66
/tests/array25.sub,1730,656,328,219,164,132,110,94,82,73,66
